name,year,sat,feature,area,areadirec,artscale,component,iso3c,id,layername,names,opacity,pathclose,perimeter,regions,rules,strokewei,style,vertexcou,style,uid,ee_nightlights_sum,ee_source,ee_reductionscale
Albania,1996,12,121996,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,47388.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1997,12,121997,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,57957.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1997,14,141997,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,27708.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1998,12,121998,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,60113.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1998,14,141998,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,38005.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1999,12,121999,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,62505.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1999,14,141999,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,53165.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2000,14,142000,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,54864.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2000,15,152000,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,88275.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2001,14,142001,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,54507.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2001,15,152001,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,85713.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2002,14,142002,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,62500.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2002,15,152002,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,94031.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2003,14,142003,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,66449.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2003,15,152003,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,69120.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2004,15,152004,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,67533.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2004,16,162004,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,83100.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2005,15,152005,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,72291.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2005,16,162005,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,82362.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2006,15,152006,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,74160.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2006,16,162006,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,82047.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2007,15,152007,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,65748.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2007,16,162007,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,100040.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,2008,15,152008,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,78037.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
